Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,27575.570313,27602.109375,27042.320313,27258.380859,27258.380859,51500000
2021-01-05,27151.380859,27279.779297,27073.460938,27158.630859,27158.630859,55000000
2021-01-06,27102.849609,27196.400391,27002.179688,27055.939453,27055.939453,72700000
2021-01-07,27340.460938,27624.730469,27340.460938,27490.130859,27490.130859,98900000
2021-01-08,27720.140625,28139.029297,27667.750000,28139.029297,28139.029297,84900000
2021-01-12,28004.369141,28287.369141,27899.449219,28164.339844,28164.339844,78800000
2021-01-13,28140.099609,28503.429688,28133.589844,28456.589844,28456.589844,70900000
2021-01-14,28442.730469,28979.529297,28411.580078,28698.259766,28698.259766,81900000
2021-01-15,28777.470703,28820.500000,28477.029297,28519.179688,28519.179688,74100000
2021-01-18,28238.679688,28349.970703,28111.539063,28242.210938,28242.210938,51900000
2021-01-19,28405.490234,28720.910156,28373.339844,28633.460938,28633.460938,58200000
2021-01-20,28798.740234,28801.189453,28402.109375,28523.259766,28523.259766,69800000
2021-01-21,28710.410156,28846.150391,28677.609375,28756.859375,28756.859375,67700000
2021-01-22,28580.199219,28698.179688,28527.160156,28631.449219,28631.449219,66900000
2021-01-25,28698.890625,28822.289063,28566.849609,28822.289063,28822.289063,57300000
2021-01-26,28696.300781,28740.710938,28527.810547,28546.179688,28546.179688,63500000
2021-01-27,28665.339844,28754.990234,28542.000000,28635.210938,28635.210938,69000000
2021-01-28,28169.269531,28360.480469,27975.849609,28197.419922,28197.419922,123900000
2021-01-29,28320.720703,28320.720703,27629.800781,27663.390625,27663.390625,91700000
2021-02-01,27649.070313,28107.099609,27649.070313,28091.050781,28091.050781,65700000
2021-02-02,28207.480469,28379.310547,28089.119141,28362.169922,28362.169922,67500000
2021-02-03,28482.710938,28669.949219,28402.300781,28646.500000,28646.500000,84000000
2021-02-04,28557.460938,28600.220703,28325.890625,28341.949219,28341.949219,81100000
2021-02-05,28631.460938,28785.710938,28548.269531,28779.189453,28779.189453,93200000
2021-02-08,28831.580078,29400.560547,28817.599609,29388.500000,29388.500000,93600000
2021-02-09,29435.609375,29585.750000,29350.480469,29505.929688,29505.929688,86900000
2021-02-10,29412.550781,29562.929688,29368.179688,29562.929688,29562.929688,81100000
2021-02-12,29635.880859,29650.509766,29417.320313,29520.070313,29520.070313,79800000
2021-02-15,29662.410156,30092.339844,29662.410156,30084.150391,30084.150391,70300000
2021-02-16,30229.460938,30714.519531,30191.650391,30467.750000,30467.750000,81300000
2021-02-17,30366.820313,30398.199219,30191.009766,30292.189453,30292.189453,74800000
2021-02-18,30311.980469,30560.490234,30140.009766,30236.089844,30236.089844,77900000
2021-02-19,29970.589844,30169.589844,29847.330078,30017.919922,30017.919922,63700000
2021-02-22,30281.779297,30458.130859,30089.179688,30156.029297,30156.029297,62800000
2021-02-24,30020.109375,30089.589844,29671.699219,29671.699219,29671.699219,79300000
2021-02-25,30077.269531,30213.279297,30044.429688,30168.269531,30168.269531,70100000
2021-02-26,29753.730469,29760.310547,28966.009766,28966.009766,28966.009766,92900000
2021-03-01,29419.449219,29686.390625,29396.039063,29663.500000,29663.500000,62700000
2021-03-02,29939.750000,29996.390625,29314.820313,29408.169922,29408.169922,70100000
2021-03-03,29482.119141,29604.369141,29336.599609,29559.099609,29559.099609,68800000
2021-03-04,29198.419922,29277.189453,28711.039063,28930.109375,28930.109375,75200000
2021-03-05,28725.480469,28867.830078,28308.570313,28864.320313,28864.320313,85800000
2021-03-08,29208.189453,29255.900391,28644.259766,28743.250000,28743.250000,92400000
2021-03-09,28748.869141,29053.560547,28609.210938,29027.939453,29027.939453,96700000
2021-03-10,29118.279297,29233.470703,28960.089844,29036.560547,29036.560547,83000000
2021-03-11,29033.919922,29255.419922,28995.330078,29211.640625,29211.640625,78500000
2021-03-12,29287.740234,29744.320313,29210.400391,29717.830078,29717.830078,96600000
2021-03-15,29804.500000,29884.730469,29670.310547,29766.970703,29766.970703,94100000
2021-03-16,29770.390625,30026.400391,29755.470703,29921.089844,29921.089844,83800000
2021-03-17,29836.830078,29984.970703,29825.160156,29914.330078,29914.330078,74600000
2021-03-18,30148.480469,30485.000000,30041.500000,30216.750000,30216.750000,95400000
2021-03-19,29904.570313,30049.769531,29621.220703,29792.050781,29792.050781,128500000
2021-03-22,29444.099609,29472.980469,29107.630859,29174.150391,29174.150391,78800000
2021-03-23,29381.490234,29496.830078,28995.919922,28995.919922,28995.919922,79200000
2021-03-24,28765.550781,28867.669922,28379.060547,28405.519531,28405.519531,96000000
2021-03-25,28457.330078,28821.830078,28414.919922,28729.880859,28729.880859,72800000
2021-03-26,29068.519531,29240.740234,28953.220703,29176.699219,29176.699219,73700000
2021-03-29,29478.119141,29578.369141,29200.880859,29384.519531,29384.519531,107900000
2021-03-30,29365.039063,29478.199219,29283.890625,29432.699219,29432.699219,79900000
2021-03-31,29278.330078,29348.990234,29165.519531,29178.800781,29178.800781,82000000
2021-04-01,29441.910156,29585.460938,29318.820313,29388.869141,29388.869141,75600000
2021-04-02,29704.660156,29869.669922,29694.089844,29854.000000,29854.000000,57200000
2021-04-05,30084.609375,30195.000000,30024.250000,30089.250000,30089.250000,55400000
2021-04-06,30208.890625,30208.890625,29665.859375,29696.630859,29696.630859,65500000
2021-04-07,29743.480469,29867.939453,29523.550781,29730.789063,29730.789063,61500000
2021-04-08,29675.880859,29744.789063,29516.419922,29708.980469,29708.980469,62600000
2021-04-09,29865.529297,30064.349609,29768.060547,29768.060547,29768.060547,64900000
2021-04-12,29874.429688,29876.039063,29538.730469,29538.730469,29538.730469,50200000
2021-04-13,29605.689453,29897.109375,29573.789063,29751.609375,29751.609375,54900000
2021-04-14,29718.060547,29722.400391,29567.179688,29620.990234,29620.990234,57200000
2021-04-15,29573.900391,29787.660156,29558.550781,29642.689453,29642.689453,50600000
2021-04-16,29789.080078,29789.080078,29621.830078,29683.369141,29683.369141,49100000
2021-04-19,29688.320313,29808.009766,29530.839844,29685.369141,29685.369141,44700000
2021-04-20,29355.869141,29361.279297,29014.359375,29100.380859,29100.380859,59900000
2021-04-21,28660.359375,28778.929688,28419.839844,28508.550781,28508.550781,71000000
2021-04-22,28880.779297,29192.390625,28800.859375,29188.169922,29188.169922,55100000
2021-04-23,28939.119141,29035.339844,28770.619141,29020.630859,29020.630859,47500000
2021-04-26,29095.490234,29241.279297,28896.369141,29126.230469,29126.230469,49200000
2021-04-27,29174.529297,29187.109375,28990.189453,28991.890625,28991.890625,59400000
2021-04-28,28935.509766,29139.699219,28875.910156,29053.970703,29053.970703,61400000
2021-04-30,28996.660156,29046.490234,28760.269531,28812.630859,28812.630859,78400000
2021-05-06,29024.009766,29430.220703,28966.470703,29331.369141,29331.369141,94300000
2021-05-07,29330.449219,29449.859375,29237.359375,29357.820313,29357.820313,67500000
2021-05-10,29376.890625,29685.410156,29346.140625,29518.339844,29518.339844,66300000
2021-05-11,29238.560547,29289.119141,28535.359375,28608.589844,28608.589844,73200000
2021-05-12,28712.099609,28831.029297,27888.589844,28147.509766,28147.509766,90000000
2021-05-13,27929.009766,27961.960938,27385.029297,27448.009766,27448.009766,80500000
2021-05-14,27723.699219,28139.960938,27723.699219,28084.470703,28084.470703,73500000
2021-05-17,28310.460938,28312.779297,27632.529297,27824.830078,27824.830078,63900000
2021-05-18,27931.570313,28481.169922,27931.570313,28406.839844,28406.839844,74700000
2021-05-19,28031.220703,28216.650391,27842.980469,28044.449219,28044.449219,68700000
2021-05-20,27875.500000,28176.869141,27821.960938,28098.250000,28098.250000,56800000
2021-05-21,28269.609375,28411.560547,28193.029297,28317.830078,28317.830078,58700000
2021-05-24,28212.320313,28584.179688,28212.320313,28364.609375,28364.609375,54700000
2021-05-25,28516.990234,28576.970703,28443.740234,28553.980469,28553.980469,54000000
2021-05-26,28396.619141,28710.830078,28396.619141,28642.189453,28642.189453,64200000
2021-05-27,28543.320313,28587.210938,28360.560547,28549.009766,28549.009766,138200000
2021-05-28,28912.539063,29194.109375,28899.660156,29149.410156,29149.410156,80600000
2021-05-31,29019.449219,29147.710938,28791.599609,28860.080078,28860.080078,53800000
2021-06-01,28998.650391,29075.470703,28611.250000,28814.339844,28814.339844,47400000
2021-06-02,28730.810547,29003.550781,28565.830078,28946.140625,28946.140625,71000000
2021-06-03,28890.390625,29157.160156,28879.150391,29058.109375,29058.109375,58500000
2021-06-04,28901.419922,28991.240234,28764.679688,28941.519531,28941.519531,55800000
2021-06-07,29214.000000,29241.199219,28973.050781,29019.240234,29019.240234,51000000
2021-06-08,29046.029297,29140.679688,28897.640625,28963.560547,28963.560547,50400000
2021-06-09,28901.560547,28932.029297,28801.830078,28860.800781,28860.800781,50400000
2021-06-10,28799.740234,29007.529297,28799.740234,28958.560547,28958.560547,53300000
2021-06-11,29030.039063,29080.890625,28839.539063,28948.730469,28948.730469,71100000
2021-06-14,29153.109375,29208.349609,29026.269531,29161.800781,29161.800781,45000000
2021-06-15,29256.029297,29480.849609,29235.710938,29441.300781,29441.300781,53000000
2021-06-16,29306.140625,29434.099609,29263.720703,29291.009766,29291.009766,52400000
2021-06-17,29149.339844,29197.679688,28875.390625,29018.330078,29018.330078,56900000
2021-06-18,29136.740234,29136.740234,28957.980469,28964.080078,28964.080078,90200000
2021-06-21,28506.839844,28506.839844,27795.859375,28010.929688,28010.929688,75800000
2021-06-22,28513.070313,28895.259766,28494.460938,28884.130859,28884.130859,67800000
2021-06-23,28886.919922,29007.830078,28860.060547,28874.890625,28874.890625,51100000
2021-06-24,28811.820313,28935.339844,28758.369141,28875.230469,28875.230469,44600000
2021-06-25,29137.300781,29174.169922,28992.740234,29066.179688,29066.179688,51600000
2021-06-28,29112.660156,29121.279297,28984.929688,29048.019531,29048.019531,47700000
2021-06-29,28927.439453,28951.679688,28735.550781,28812.609375,28812.609375,59700000
2021-06-30,28896.310547,28998.990234,28779.759766,28791.529297,28791.529297,54000000
2021-07-01,28832.410156,28833.169922,28624.800781,28707.039063,28707.039063,45900000
2021-07-02,28719.240234,28849.320313,28688.630859,28783.279297,28783.279297,47500000
2021-07-05,28709.570313,28731.070313,28581.080078,28598.189453,28598.189453,38500000
2021-07-06,28677.949219,28748.230469,28587.609375,28643.210938,28643.210938,41700000
2021-07-07,28262.400391,28434.990234,28161.750000,28366.949219,28366.949219,60300000
2021-07-08,28332.630859,28366.759766,28118.029297,28118.029297,28118.029297,62200000
2021-07-09,27739.419922,28000.019531,27419.400391,27940.419922,27940.419922,82300000
2021-07-12,28412.699219,28595.119141,28405.599609,28569.019531,28569.019531,55500000
2021-07-13,28713.820313,28852.310547,28699.039063,28718.240234,28718.240234,49800000
2021-07-14,28517.310547,28696.800781,28482.820313,28608.490234,28608.490234,54800000
2021-07-15,28539.320313,28571.720703,28240.210938,28279.089844,28279.089844,53200000
2021-07-16,28039.259766,28201.300781,27847.349609,28003.080078,28003.080078,50400000
2021-07-19,27663.400391,27792.519531,27493.630859,27652.740234,27652.740234,49900000
2021-07-20,27351.800781,27564.519531,27330.150391,27388.160156,27388.160156,63000000
2021-07-21,27747.060547,27882.429688,27438.070313,27548.000000,27548.000000,51400000
2021-07-26,27990.470703,28036.470703,27786.439453,27833.289063,27833.289063,54500000
2021-07-27,27911.929688,28036.230469,27862.689453,27970.220703,27970.220703,51700000
2021-07-28,27674.990234,27809.859375,27466.990234,27581.660156,27581.660156,57100000
2021-07-29,27722.609375,27798.050781,27663.410156,27782.419922,27782.419922,67800000
2021-07-30,27677.890625,27699.349609,27272.490234,27283.589844,27283.589844,70600000
2021-08-02,27493.320313,27834.599609,27493.320313,27781.019531,27781.019531,60100000
2021-08-03,27580.029297,27724.449219,27492.400391,27641.830078,27641.830078,57900000
